#{"t_start": 1587897311.8340101, "env_id": "epidemic-intervention-v0"}
r,l,t
0,21,2.345838
0,23,2.456658
0,21,2.559091
0,23,2.656285
0,21,2.777176
0,25,5.402152
0,22,5.51826
0,21,5.652416
0,22,5.813429
0,22,5.951996
0,22,6.076195
0,21,6.343621
0,21,6.56496
0,21,6.740153
0,21,6.89221
0,8,6.947179
0,21,7.106858
0,21,7.232986
0,21,7.504083
0,21,7.648671
0,22,7.759987
0,22,7.885048
0,22,7.982797
0,21,8.101168
0,21,8.299525
0,21,8.424213
0,18,8.527557
0,21,8.738045
0,22,8.908685
0,21,9.007703
0,14,9.166841
0,21,9.323455
0,21,9.555923
0,21,9.710492
0,22,9.91814
0,21,10.123502
0,21,10.451442
0,23,10.661495
0,22,10.844781
0,26,11.025645
0,21,11.156722
0,21,11.350464
-0.25743,22,11.567353
0,21,11.728494
0,22,11.930548
0,6,11.99023
0,21,12.202309
0,23,12.327148
0,21,12.435414
0,27,12.636494
0,21,12.761809
0,23,12.934639
0,21,13.0788
0,21,13.19345
0,21,13.404961
0,21,13.642866
0,21,13.855644
0,21,14.024274
0,21,14.13111
0,23,14.23766
0,21,14.589679
0,21,14.779559
0,23,14.919637
0,22,15.039353
0,21,15.157364
0,21,15.290681
0,21,15.659382
0,21,15.907793
0,24,16.013764
0,21,16.145133
0,21,16.393186
0,23,16.51481
0,3,16.532182
0,21,16.744232
0,23,17.00012
0,21,17.271458
0,24,17.466087
0,22,17.6491
0,26,17.788714
0,9,17.914431
0,21,18.034675
0,21,18.189204
0,28,18.3789
0,21,18.544957
0,21,18.664981
0,21,18.921367
0,21,19.117082
0,21,19.380851
0,22,52.579341
0,21,72.270348
0,21,73.047375
0,23,73.865936
0,21,74.696867
0,21,75.647609
0,23,76.745281
0,25,77.754248
0,26,78.834402
0,21,79.916057
0,22,80.935561
0,21,81.722402
0,21,82.685736
0,21,83.387182
0,25,84.087682
0,21,84.800324
0,21,85.509673
0,22,86.225581
0,22,86.930099
0,21,87.725089
0,22,88.476852
0,21,89.223196
0,24,90.119236
0,21,91.286115
0,22,92.150148
0,21,93.011973
0,22,93.843803
0,21,94.583173
0,23,95.410363
0,21,96.32836
0,26,97.362297
0,21,98.212776
0,21,99.182054
0,23,99.891167
0,21,100.995935
0,23,102.166618
0,22,103.022132
0,21,103.77872
0,21,104.448443
0,21,105.116401
0,21,105.798257
0,21,106.481874
0,21,107.149247
0,22,107.824585
0,22,108.507167
0,22,109.32978
0,23,109.990638
0,22,110.676028
0,22,111.343914
0,21,112.193088
0,25,113.014428
0,22,113.724023
0,25,114.447199
0,21,115.167966
0,22,115.839917
0,21,116.531493
0,23,117.40747
0,22,118.150851
0,22,118.857635
0,22,119.577545
0,22,120.256997
0,21,120.934406
0,23,121.624745
0,24,122.408808
0,22,123.139797
0,21,123.838368
0,21,124.53627
0,21,125.358516
0,24,126.042143
0,21,126.739927
0,21,127.449355
0,21,128.162059
0,21,128.856605
0,22,129.54207
0,21,130.215511
0,22,130.89737
0,22,131.577765
0,22,132.259222
0,22,133.162407
0,22,133.856812
0,21,134.550599
0,24,135.236776
0,23,135.920363
0,23,136.619938
0,21,137.313921
0,21,137.993982
0,22,138.680271
0,22,139.357652
0,21,140.032894
0,21,140.864654
0,21,141.565292
0,25,142.251958
0,21,143.014829
0,21,143.709729
0,22,144.383512
0,21,145.064161
0,22,145.743009
0,21,146.425499
0,22,147.095483
0,22,147.780465
0,21,148.618744
